Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,2023-03-13,0.0225857786,0.0267723573,0.0268232267,21,100
Market-Adjusted Model,10028,2023-03-13,-0.107586237,-0.100684119,-0.103348789,21,100
Market-Adjusted Model,10032,2023-03-13,-0.009672389,-0.004117865,-0.005434941,21,100
Market-Adjusted Model,10044,2023-03-13,0.0460000039,0.0497680036,0.050237452,21,100
Market-Adjusted Model,10065,2023-03-13,-0.012467165,-0.008121591,-0.008229717,21,100
Market-Adjusted Model,10066,2023-03-13,-0.029880271,-0.023275571,-0.025642823,21,100
Market-Adjusted Model,10104,2023-03-13,0.0166929339,0.0217959582,0.020930382,21,100
Market-Adjusted Model,10107,2023-03-13,0.1089800344,0.1093016513,0.1132174825,21,100
Market-Adjusted Model,10113,2023-03-13,-0.029322904,-0.024431721,-0.025085456,21,100
Market-Adjusted Model,10138,2023-03-13,-0.003242782,0.0032761936,0.0009946664,21,100
Market-Adjusted Model,10145,2023-03-13,-0.021089292,-0.016854215,-0.016851844,21,100
Market-Adjusted Model,10158,2023-03-13,-0.114649725,-0.097095383,-0.110412277,21,100
Market-Adjusted Model,10200,2023-03-13,-0.036842707,-0.026847841,-0.032605259,21,100
Market-Adjusted Model,10207,2023-03-13,-0.064795187,-0.061520637,-0.060557739,21,100
Market-Adjusted Model,10220,2023-03-13,0.0125353147,0.0178529465,0.0167727628,21,100
Market-Adjusted Model,10252,2023-03-13,-0.158212742,-0.158517578,-0.153975294,21,100
Market-Adjusted Model,10253,2023-03-13,-0.074633504,-0.051626296,-0.070396056,21,100
Market-Adjusted Model,10257,2023-03-13,-0.048223329,-0.03378168,-0.043985881,21,100
Market-Adjusted Model,10258,2023-03-13,-0.122632058,-0.111073192,-0.11839461,21,100
Market-Adjusted Model,10294,2023-03-13,-0.154710801,-0.161155795,-0.150473353,21,100
Market-Adjusted Model,10308,2023-03-13,-0.111553805,-0.106221946,-0.107316356,21,100
Market-Adjusted Model,10318,2023-03-13,-0.057832387,-0.053428822,-0.053594939,21,100
Market-Adjusted Model,10333,2023-03-13,-0.026388874,-0.011715625,-0.022151426,21,100
Market-Adjusted Model,10355,2023-03-13,-0.096775216,-0.094425954,-0.092537768,21,100
Market-Adjusted Model,10382,2023-03-13,-0.117098304,-0.112172708,-0.112860856,21,100
Market-Adjusted Model,10397,2023-03-13,-0.074770346,-0.07240456,-0.070532897,21,100
Market-Adjusted Model,10421,2023-03-13,0.0030318041,0.0180905052,0.0072692522,21,100
Market-Adjusted Model,10443,2023-03-13,0.0285919818,0.0358495319,0.0328294299,21,100
Market-Adjusted Model,10463,2023-03-13,-0.093749974,-0.08909652,-0.089512526,21,100
Market-Adjusted Model,10501,2023-03-13,-0.135706905,-0.127855244,-0.131469456,21,100
Market-Adjusted Model,10514,2023-03-13,-0.118086774,-0.074706488,-0.113849326,21,100
Market-Adjusted Model,10516,2023-03-13,-0.045309458,-0.040037774,-0.04107201,21,100
Market-Adjusted Model,10517,2023-03-13,-0.053754667,-0.045355966,-0.049517219,21,100
Market-Adjusted Model,10547,2023-03-13,-0.25649773,-0.278357907,-0.252260282,21,100
Market-Adjusted Model,10550,2023-03-13,0.0272300106,0.0376427402,0.0314674587,21,100
Market-Adjusted Model,10606,2023-03-13,-0.068176238,-0.065170734,-0.063938789,21,100
Market-Adjusted Model,10629,2023-03-13,-0.179002363,-0.185234019,-0.174764915,21,100
Market-Adjusted Model,10645,2023-03-13,-0.032666651,-0.026951308,-0.028429203,21,100
Market-Adjusted Model,10649,2023-03-13,-0.053043463,-0.047865724,-0.048806015,21,100
Market-Adjusted Model,10661,2023-03-13,-0.284471546,-0.323836134,-0.280234098,21,100
Market-Adjusted Model,10693,2023-03-13,-0.123048818,-0.124952899,-0.11881137,21,100
Market-Adjusted Model,10696,2023-03-13,-0.023416346,-0.015033419,-0.019178898,21,100
Market-Adjusted Model,10777,2023-03-13,0.2122290909,0.3182651559,0.216466539,21,100
Market-Adjusted Model,10779,2023-03-13,-0.009345785,0.0090981785,-0.005108337,21,100
Market-Adjusted Model,10781,2023-03-13,-0.007330535,-0.001169346,-0.003093087,21,100
Market-Adjusted Model,10812,2023-03-13,-0.060827281,-0.057094067,-0.056589833,21,100
Market-Adjusted Model,10860,2023-03-13,-0.062700949,-0.052475125,-0.058463501,21,100
Market-Adjusted Model,10866,2023-03-13,-0.175212329,-0.18132341,-0.170974881,21,100
Market-Adjusted Model,10874,2023-03-13,-0.109235971,-0.108036315,-0.104998523,21,100
Market-Adjusted Model,10886,2023-03-13,-0.245360852,-0.255853,-0.241123404,21,100
Market-Adjusted Model,10890,2023-03-13,-0.323076904,-0.350571961,-0.318839456,21,100
Market-Adjusted Model,10892,2023-03-13,-0.230831662,-0.245475937,-0.226594214,21,100
Market-Adjusted Model,10901,2023-03-13,-0.074435705,-0.068352871,-0.070198257,21,100
